field_1,Codigo,Linea,Nombre,Latitude,Longitud,No_Lineas,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,geometry
1774,1102-169,1102,av. Luis orci y choyal,29.105605,-110.990973,1,1102,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.990973 29.105605)
1775,1102-170,1102,Choyal Y Av. Enrique Quijda,29.104101,-110.990908,1,1102,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.990908 29.104101)
1776,1102-171,1102,Av. Saturnino Campoy y Calle 1,29.103497,-110.992935,1,1102,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.992935 29.103497)
1777,1102-172,1102,Av. Saturnino Campoy y Calle 5,29.103437,-110.995629,1,1102,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.995629 29.103437)
1778,1102-173,1102,Av. Saturnino Campoy y Calle 9,29.103455,-110.998183,1,1102,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.998183 29.103455)
1779,1102-174,1102,Av. Republica de Guatemala y Av. Saturnino Campoy,29.103567,-111.000771,1,1102,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-111.000771 29.103567)
1780,1102-175,1102,Av. Republica de Guatemala y Av. Leopoldo Ramos,29.104278,-111.00077,1,1102,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-111.00077 29.104278)
1781,1102-176,1102,Av. Republica de Guatemala y Av. Luis Orci,29.105428,-111.000791,1,1102,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-111.000791 29.105428)
1782,1102-177,1102,Av. Luis Orci y Av. Republica de Honduras,29.105581,-111.002971,1,1102,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-111.002971 29.105581)
1783,1102-178,1102,Av. Luis Orci y Av. Republica de Panama,29.105569,-111.005322,1,1102,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-111.005322 29.105569)
1784,1102-179,1102,Av. Luis Orci y Sahuaro,29.105582,-111.008103,1,1102,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-111.008103 29.105582)
1785,1102-180,1102,Av. Luis Orci y Calle Carlos Balderrama,29.105564,-111.011249,1,1102,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-111.011249 29.105564)
1786,1102-181,1102,Calle Carlos Balderramay Angel Garcia Aburto,29.107488,-111.011321,1,1102,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-111.011321 29.107488)
1787,1102-182,1102,Calle Carlos Balderrama yAv. Perimetral Norte,29.109752,-111.011343,1,1102,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-111.011343 29.109752)
1788,1102-183,1102,Calle Carlos Balderrama y Chilpancingo,29.112773,-111.011334,1,1102,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-111.011334 29.112773)
1789,1102-184,1102,Calle Carlos Balderrama y Toluca,29.115125,-111.011343,1,1102,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-111.011343 29.115125)
